,number,value,datetime_start,datetime_complete,duration,params_lLegPt.lL0,params_lLegPt.lL1,params_lLegPt.lL2,params_lLegPt.rA1,params_lLegPt.rL0,params_lLegPt.rL1,params_lLegPt.rL2,params_lLegPt.x1,params_lLegPt.y1,params_sLegMotor,params_sLegPt.lL0,params_sLegPt.lL1,params_sLegPt.lL2,params_sLegPt.rA1,params_sLegPt.rL0,params_sLegPt.rL1,params_sLegPt.rL2,params_sLegPt.x1,params_sLegPt.y1,params_sLegPulley,user_attrs_prune,system_attrs_auto:sampler,state
33,33,5.982870752533412,2026-01-30 17:28:36.867566,2026-01-30 17:28:40.447289,0 days 00:00:03.579723,35.93177395977221,24.368016407144374,56.97207456720089,-63.77952717183635,94.76613261372064,65.32484193290084,53.95195185449022,41.46379725680573,12.832900045323035,95.0,31.619972934767606,38.317387925230356,27.849100974598468,-49.46602094329378,15.73212389900158,49.41303273109325,98.69316649368307,46.8935737367538,13.760236656389012,10.0,Unattained target,RandomSampler,PRUNED
34,34,8.626792484559612,2026-01-30 17:28:40.556990,2026-01-30 17:28:45.156769,0 days 00:00:04.599779,11.43601068029795,70.571520065805,90.90880551332943,-63.52925862700039,54.281079827229526,38.682428799472504,62.956760017662944,32.7700173727939,24.20394532807061,100.0,96.1794939774468,48.0059170230534,92.47346038794075,-21.687080348152037,62.33664364609898,14.43449537062551,24.163724477078937,39.44073616851202,21.355981989134314,5.0,Unattained target,RandomSampler,PRUNED
35,35,17.796144801542468,2026-01-30 17:28:45.310831,2026-01-30 17:28:49.700643,0 days 00:00:04.389812,59.31578418770813,55.228998622101095,17.82897275027775,-65.83355004984348,26.83706037699872,50.266446875472866,11.899142567591912,42.63073996182602,14.756878806287773,120.0,74.11044574597719,31.330267648435235,50.51946499335745,-47.9992993887865,90.6132401404864,43.80650681214036,99.47120099864972,37.458357112605434,26.516028857197583,10.0,Unattained target,RandomSampler,PRUNED
36,36,7.824197020856275,2026-01-30 17:28:49.880892,2026-01-30 17:28:54.706184,0 days 00:00:04.825292,89.24709623132198,68.49174095505347,95.22473013727988,-38.5332776180593,98.25145935694894,43.05405407075084,99.71700228430913,40.319404691848085,14.53931532275578,90.0,66.86745892908831,40.45416854651924,16.56537625628921,-77.08160064892179,31.11430038609919,69.41704580462026,79.00043549617614,33.517377038885115,16.012907764652688,5.0,Unattained target,RandomSampler,PRUNED
37,37,6.0,2026-01-30 17:28:54.890784,2026-01-30 17:28:54.956083,0 days 00:00:00.065299,74.94897208981004,71.07993413769063,89.83447467798979,-39.432473733826306,40.36539621911133,24.38184198584751,61.51948763187784,33.39261036912317,24.63435045389563,90.0,62.0644158045949,97.9972367317707,98.35778713001302,-48.98282247551411,26.49789581181167,80.04834427796989,40.45467509196155,49.62359462743936,12.807190754300983,5.0,Unfeasible shape,RandomSampler,PRUNED
38,38,6.0,2026-01-30 17:28:55.116281,2026-01-30 17:28:55.181008,0 days 00:00:00.064727,70.05486440210471,23.119994876268024,16.5618224957203,-67.2255770801069,72.80257293572357,32.53434013371768,98.71955152111745,32.8499197724639,26.02919460569491,105.0,25.358100317200652,78.04002495740302,73.95083753872206,-40.910429536299326,37.124851615846254,90.32179981394374,94.53485078682638,48.14831588954804,12.681838840846298,5.0,Unfeasible shape,RandomSampler,PRUNED
39,39,13.28291576275354,2026-01-30 17:28:55.328841,2026-01-30 17:28:59.545980,0 days 00:00:04.217139,22.784817559515115,93.60888240540771,70.64112351344238,-42.958191926936706,66.98215876871785,66.63581130676235,95.22752970377601,43.0345248214464,21.549376813411598,90.0,89.8620914996603,89.23346250945184,34.71969782212989,-68.07510931522354,66.84322022982703,17.76075927009738,53.80401711966291,44.47406057565461,20.709266131428578,10.0,Unattained target,RandomSampler,PRUNED
40,40,6.0,2026-01-30 17:28:59.664603,2026-01-30 17:28:59.726040,0 days 00:00:00.061437,79.94653635324103,96.30283240411279,49.333885980027304,-72.5393621785055,65.3421749664282,16.223483069723454,24.16138322355887,46.94999740849828,14.600111327606797,85.0,18.419992053363664,69.89909301128156,50.26847945385776,-30.942845687111927,62.65883150146151,72.85862237080295,79.04863645247372,49.76449207484522,10.465440366548826,5.0,Unfeasible shape,RandomSampler,PRUNED
41,41,7.441035656041855,2026-01-30 17:28:59.885821,2026-01-30 17:29:03.730416,0 days 00:00:03.844595,12.729405639974093,75.90666806030968,17.477849127864953,-59.214616833439734,82.50653276231037,92.54658453448245,74.34466670961099,42.813745069862264,22.49403953321115,85.0,83.89650880181813,80.26600202785903,53.5807900376758,-51.369195146527254,93.1857155096665,60.70986316862389,80.56469663848794,36.433513676257895,22.78670862078804,5.0,Unattained target,RandomSampler,PRUNED
42,42,6.0,2026-01-30 17:29:03.862493,2026-01-30 17:29:03.921891,0 days 00:00:00.059398,27.274006802740427,51.229402227431386,70.24085394864714,-48.80907345258941,60.98222543516968,25.526129179332397,48.85774428578082,38.069851562262144,19.837527851521344,115.0,92.81325552417458,56.78349482876612,65.00427086967213,-24.14889645336776,31.33100779517544,65.81693738389798,13.583423709816085,39.886359826242426,18.834691804639817,10.0,Unfeasible shape,RandomSampler,PRUNED
