,number,value,datetime_start,datetime_complete,duration,params_highPt.lL1,params_highPt.lL2,params_highPt.lL3,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.lL1,params_lowPt.lL2,params_lowPt.lL3,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_cma:generation,state
34,34,,2026-05-13 16:29:28.161566,2026-05-13 16:29:28.422199,0 days 00:00:00.260633,88.09322670901386,73.54914790830254,136.8777012522437,-39.44045770202292,109.05493911812523,139.67211950240977,163.10311293103427,42.11005299048233,30.577583902049696,89.64285340070396,68.46064180255969,73.79916275795513,-52.886955882006944,75.38353273949697,119.57149989226197,45.959180685730914,48.9910033474115,37.74931784007849,Unfeasible shape,0.0,PRUNED
35,35,,2026-05-13 16:29:28.539904,2026-05-13 16:29:28.761347,0 days 00:00:00.221443,109.4824859963371,72.52497421924205,66.67319340174865,-41.907780905960124,99.16519431861046,82.36403238821418,75.55660684770648,42.6833117547674,22.867583258010164,153.29673650542438,120.61916408118567,122.19193999917587,-31.710410596346186,160.08834737833814,130.54425578883234,93.59727220165767,33.643918203728155,47.38943800649981,Unfeasible shape,0.0,PRUNED
36,36,,2026-05-13 16:29:28.863056,2026-05-13 16:29:29.116806,0 days 00:00:00.253750,125.79104867450637,44.82097963976096,109.79600218967174,-61.19054628684984,113.37755500298816,66.03822866860847,113.63339651802099,40.6409047173017,24.012145710163832,128.29933567016053,90.94441571493336,59.590379154403934,-50.86272493493946,79.84482180658081,76.16297556117041,132.6163197274076,38.75532504576433,34.92012572695164,Unfeasible shape,0.0,PRUNED
37,37,,2026-05-13 16:29:29.227975,2026-05-13 16:29:29.476591,0 days 00:00:00.248616,83.18290356766958,69.17378181779804,114.06521150906853,-64.54171772232078,84.74967357241786,97.29621150181885,74.73353171040772,36.91731014186382,33.53628539198037,34.43905354403897,85.44149767902361,166.61564026579055,-24.945237678700657,149.65281111712045,117.52074577952071,119.35428604879246,22.235430215716125,32.63425605166401,Unfeasible shape,0.0,PRUNED
38,38,,2026-05-13 16:29:29.585421,2026-05-13 16:29:29.833921,0 days 00:00:00.248500,140.41407163857784,81.94665387543355,111.95676213238117,-56.87904034380474,22.79672820855069,160.81282861031283,90.96066187623877,36.59104331537319,53.80326938857137,65.61510855181876,69.02115565140326,22.24125681818574,-58.438944429956315,121.49969376653694,171.1852358453193,99.77111791495324,23.498591681727863,27.379688229658512,Unfeasible shape,0.0,PRUNED
39,39,,2026-05-13 16:29:29.939802,2026-05-13 16:29:30.198653,0 days 00:00:00.258851,176.43308473895985,88.27830769198269,60.35698956563035,-18.143834876328548,82.00749942809013,89.2589558159327,81.63867895697777,37.05451423407324,41.64848751812053,87.67228571542265,127.95602596745023,170.78977111874616,-32.39895652625255,81.25893694293373,75.41467897533644,165.78399036297623,44.80539218855619,41.73328462196483,Unfeasible shape,0.0,PRUNED
40,40,,2026-05-13 16:29:30.335633,2026-05-13 16:29:30.592787,0 days 00:00:00.257154,158.02002763804686,44.967627218014364,62.79139255876281,-48.57236712512635,155.76885280689282,96.51716573690061,77.57744849333545,21.276529141899875,16.637627803923777,112.2422273773621,81.71854987464118,107.31726281484323,-46.986893388247694,122.46929378784617,122.48749968865008,72.61202409976498,43.45172796294455,30.145254254751087,Unfeasible shape,0.0,PRUNED
41,41,,2026-05-13 16:29:30.718747,2026-05-13 16:29:30.947464,0 days 00:00:00.228717,165.1145447921304,151.59802664156354,108.76442917303187,-29.550700464921007,21.230055243541646,96.1549559579179,56.81679643861029,42.2410400587112,58.33717717926022,98.64987493285898,122.09952816293486,85.50481991464918,-34.4244610699363,77.24213438745275,159.7576156972941,162.9788960555836,40.15053871327723,42.212370384633964,Unfeasible shape,0.0,PRUNED
42,42,,2026-05-13 16:29:31.066782,2026-05-13 16:29:31.306124,0 days 00:00:00.239342,83.97929623414808,55.769239161606336,111.11187800372397,-39.741346895627935,109.18748680140072,132.36843255639087,106.87714522949085,16.891428067742332,30.443343893424128,121.9343548901833,15.170237240858938,109.44123717440928,-32.543843383610884,68.4024071400295,52.515697982724184,26.140326829258132,55.07930257949443,35.75497412824472,Unfeasible shape,0.0,PRUNED
43,43,,2026-05-13 16:29:31.420573,2026-05-13 16:29:31.644370,0 days 00:00:00.223797,50.33601425605842,107.70178902262542,88.77555541773003,-65.13184527384402,157.86784551515922,120.64109920031133,98.85893600073032,34.41444275369436,46.42550226810192,130.024563844537,72.58844889716201,116.18603127391354,-62.50433307844583,90.75652355307099,83.5941903872027,84.52299845211643,22.373243383258107,12.665602507942392,Unfeasible shape,0.0,PRUNED
44,44,,2026-05-13 16:29:31.771148,2026-05-13 16:29:32.032824,0 days 00:00:00.261676,127.02335437028671,141.33847778782027,148.34163721835094,-35.285714452689454,114.12076286537537,69.85354115438734,119.57042440106694,4.1433853407190595,45.69908244226869,62.62390606773685,73.76833200148528,78.7370054629983,-50.206761887424115,113.68508845568557,163.91094832906177,70.42253522139518,42.48193044303809,32.16423562031173,Unfeasible shape,0.0,PRUNED
45,45,,2026-05-13 16:29:32.152436,2026-05-13 16:29:32.405545,0 days 00:00:00.253109,69.53247867128198,92.041672751711,137.2432891779931,-38.58041822769306,88.7354435339836,138.02723652681772,122.33183419195164,49.50740416310481,60.102209018526466,59.36371557752924,69.89646432503984,129.917536836687,-41.328427973723365,119.10221506001594,24.800990358255998,152.23201128532213,40.23591439039738,38.21024231482299,Unfeasible shape,0.0,PRUNED
46,46,,2026-05-13 16:29:32.514568,2026-05-13 16:29:32.763748,0 days 00:00:00.249180,98.35227952753736,124.00288598476797,153.95408580796095,-44.11400635259548,69.50742919283708,40.12104666775583,67.23247458348641,42.2223178553527,10.519015620622058,158.19829748518163,90.08927997018696,106.0379679319224,-39.274115445156895,92.98514422090557,124.79332589199244,157.03147645984026,32.788783264307405,31.283257107271886,Unfeasible shape,0.0,PRUNED
47,47,,2026-05-13 16:29:32.858949,2026-05-13 16:29:33.157276,0 days 00:00:00.298327,123.44415682092256,92.23496648897405,113.63603998851694,-52.673955293811645,96.1236758629907,124.65451565883224,81.86537858313639,34.14757717127275,46.67829253421226,101.01110260355277,76.82843607975386,102.90895834002295,-37.19973308841226,58.87900758128679,100.05235570637977,70.27375668172773,43.74100528226434,34.989585099954645,Unfeasible shape,0.0,PRUNED
48,48,,2026-05-13 16:29:33.261181,2026-05-13 16:29:33.516632,0 days 00:00:00.255451,129.91776816614558,178.4773670582159,54.230977792234206,-25.213105445683837,183.39972504793099,99.41750720411899,91.90333378567993,45.707742516608725,30.80036729801504,67.02939083528597,93.24890804561032,68.49780206737175,-55.59424406913058,65.62828458065191,145.88997762925243,64.35969196104301,43.73368540651697,37.56682521823928,Unfeasible shape,0.0,PRUNED
49,49,,2026-05-13 16:29:33.650513,2026-05-13 16:29:33.891860,0 days 00:00:00.241347,123.27145289335222,82.52796960703947,89.79456699854174,-38.125421070858565,106.08033764828176,84.06216100960908,177.40395090303755,41.36797595750517,39.69911094451133,132.10209828406778,21.582824642709003,96.90808749711599,-31.99202785132767,138.10492621999413,81.76715177963491,115.40802764755844,32.143757696053065,56.17863282736444,Unfeasible shape,0.0,PRUNED
