,number,value,datetime_start,datetime_complete,duration,params_lLegPt.lL0,params_lLegPt.lL1,params_lLegPt.lL2,params_lLegPt.rA1,params_lLegPt.rL0,params_lLegPt.rL1,params_lLegPt.rL2,params_lLegPt.x1,params_lLegPt.y1,params_sLegPt.lL0,params_sLegPt.lL1,params_sLegPt.lL2,params_sLegPt.rA1,params_sLegPt.rL0,params_sLegPt.rL1,params_sLegPt.rL2,params_sLegPt.x1,params_sLegPt.y1,user_attrs_prune,system_attrs_auto:sampler,state
49,49,7.030575795994423,2026-04-13 11:37:08.630760,2026-04-13 11:37:25.700496,0 days 00:00:17.069736,71.34713262671094,64.76313433569459,39.92050128385604,-24.905658977589198,65.77720105801593,40.96721850360791,78.87124877328137,40.37177590288724,15.194790838349553,91.56703951908769,35.97147672599241,95.77176953183769,-42.00445580158999,69.14774643806973,40.79387293796212,80.4096358250823,35.61823669569202,29.1910433576481,Unattained target,GPSampler,PRUNED
50,50,5.710509956712464,2026-04-13 11:37:25.936604,2026-04-13 11:37:35.172847,0 days 00:00:09.236243,78.30506763694386,31.06305834468808,76.11958955056187,-21.76098613325255,82.28319519512723,44.68951360921494,43.712686302469756,41.693701645390036,12.939993531303024,84.97803366863671,97.92674594078366,12.175381333941015,-27.973046758787838,78.57094785633005,91.76168908632522,62.61120231705508,42.492977418574974,20.88325976697938,Unattained target,GPSampler,PRUNED
51,51,6.08638450636068,2026-04-13 11:37:35.332891,2026-04-13 11:37:43.223972,0 days 00:00:07.891081,52.04945610245952,53.04818106815635,24.815817934474314,-22.72268587048815,40.07323024310158,98.35013135241482,76.57874354550525,35.17553709393453,20.51957683326649,23.147366685023083,11.270317678755298,76.03813205930332,-40.586489908163855,90.3742146676811,22.738773225397956,66.98023793251288,40.05101577968502,25.915780276328867,Unattained target,GPSampler,PRUNED
52,52,6.918063025718592,2026-04-13 11:37:43.437146,2026-04-13 11:37:51.040699,0 days 00:00:07.603553,67.27843995568642,20.781824887502857,60.6732954653543,-20.21140727305879,81.25506261084743,51.53940935337786,11.348741058904679,36.648447484802304,23.524132766887742,92.75898742056542,45.007027805727375,73.70617798615808,-49.959293386156645,61.21177776023328,93.52687332027986,23.841966774899394,30.873616844790075,22.583189679581423,Unattained target,GPSampler,PRUNED
53,53,9.240022847157185,2026-04-13 11:37:51.181748,2026-04-13 11:37:58.651586,0 days 00:00:07.469838,70.14122443401848,62.56792248226809,13.29709746003452,-44.56279447379743,56.257825808430226,51.759332415003755,41.98965832199722,44.562629591375156,11.105661664444595,73.73609440951512,86.47798920218598,97.99147213828427,-54.26789370423733,81.3630489443383,30.734351380566103,85.22242536707431,46.064352369378256,17.080517114608256,Unattained target,GPSampler,PRUNED
54,54,5.859786037188407,2026-04-13 11:37:58.803561,2026-04-13 11:38:12.801000,0 days 00:00:13.997439,64.86826075440078,13.238293948887291,23.75334248122793,-40.8145447001063,45.9116955769147,31.478365000759688,31.330992722183126,39.330130336101405,21.963277426417,65.54638293807764,23.01615525953004,98.324232903347,-64.9512098506713,52.84157205526959,55.37933493587744,70.93104353425963,43.346366081057454,10.027677053775818,Unattained target,GPSampler,PRUNED
55,55,6.057717479505683,2026-04-13 11:38:12.929074,2026-04-13 11:38:20.902500,0 days 00:00:07.973426,84.78784092973339,76.10201382813116,69.5579163053504,-21.00441793543275,67.54834107133559,19.98816364955559,86.47571576982688,37.178933892520035,23.381051895436894,27.509087432563707,65.14028120881645,12.32060563966449,-42.389341736496625,29.71699173642338,88.1461219344363,62.66519320085412,30.80070342477051,11.670320459768156,Unattained target,GPSampler,PRUNED
56,56,8.31276530678922,2026-04-13 11:38:21.043726,2026-04-13 11:38:29.856276,0 days 00:00:08.812550,55.51670577324217,99.77536684780172,56.04151787767841,-31.326490701107417,11.066071876384584,12.580379201006721,27.389434955304672,49.65516298527593,11.063907833906558,87.36191407843711,74.12088811709967,68.2896678255191,-56.798871404906016,82.51128804504265,42.931114874783354,21.024626699181766,30.028285827401234,12.608165317811633,Unattained target,GPSampler,PRUNED
57,57,11.790829180027522,2026-04-13 11:38:30.048149,2026-04-13 11:38:38.150292,0 days 00:00:08.102143,40.67915603906468,76.14400862073373,54.748381525119065,-45.65519709931676,79.8553602736254,84.32962482245597,15.10595015612573,43.23875880853326,20.825003053848896,11.787628394483164,87.30927589107615,34.190331864180166,-36.421262410169206,10.13698897750743,59.42445746289784,76.4254839408709,45.68096272941415,29.16548709194329,Unattained target,GPSampler,PRUNED
58,58,5.046448861230644,2026-04-13 11:38:38.322617,2026-04-13 11:38:46.501361,0 days 00:00:08.178744,84.31223409047426,55.6507441508143,40.29973929113423,-49.782541539012755,40.50879526212266,16.158352005246606,79.847711884512,36.55640259953772,24.6378055273035,81.16804023397845,64.72773388388329,10.635042215204985,-54.0539942969294,43.082216601175546,90.08547037410844,68.41154957162331,49.40751744788095,20.826383942457703,Unattained target,GPSampler,PRUNED
