Study                  : no-name-b33cf3c0-5860-44cd-8f60-cf545cc2eb69
- Start                : 2026-05-12 22:08:41.725436
- End                  : 2026-05-13 04:48:47.042927
- Duration             : 6:40:05.317491
- Sampler              : CmaEsSampler
- Pruner               : HyperbandPruner
- Trials               : 2000
-- Completed trials    : 1411, 70.55 %
-- Pruned trials       : 589, 29.45 %
--- Unfeasible shapes  : 589, 100.00 %
--- Unattained targets : 0, 0.00 %
-- Failed trials       : 0, 0.00 %
-- Parameters          :
                         lowPt.rL1	: [10,100]
                         lowPt.rL2	: [10,100]
                         lowPt.x2	: [0,75]
                         lowPt.y2	: [0,75]
                         lowPt.rA2	: [-80,-20]
                         lowPt.rL3	: [10,100]
                         highPt.rL1	: [10,100]
                         highPt.rL2	: [10,100]
                         highPt.x2	: [0,75]
                         highPt.y2	: [0,75]
                         highPt.rA2	: [-80,-20]
                         highPt.rL3	: [10,100]
-- Results             : 
                         Trial number : 1734, Value : 41.010482, Duration : 0:00:17.169526
                         Trial number : 1970, Value : 41.010563, Duration : 0:00:17.147139
                         Trial number : 1547, Value : 41.011252, Duration : 0:00:17.356733
                         Trial number : 1747, Value : 41.011291, Duration : 0:00:13.179199
                         Trial number : 1417, Value : 41.011331, Duration : 0:00:15.061671
                         Trial number : 1472, Value : 41.011456, Duration : 0:00:15.117495
                         Trial number : 1905, Value : 41.011619, Duration : 0:00:12.661726
                         Trial number : 1976, Value : 41.011726, Duration : 0:00:14.661321
                         Trial number : 1244, Value : 41.011799, Duration : 0:00:14.934021
                         Trial number : 1344, Value : 41.012103, Duration : 0:00:14.427860
                         Trial number : 1570, Value : 41.012353, Duration : 0:00:16.632152
                         Trial number : 1431, Value : 41.012416, Duration : 0:00:14.834047
                         Trial number : 865, Value : 41.012667, Duration : 0:00:13.941441
                         Trial number : 1447, Value : 41.012760, Duration : 0:00:14.784775
                         Trial number : 1032, Value : 41.013105, Duration : 0:00:14.443285
                         Trial number : 1514, Value : 41.013221, Duration : 0:00:13.762425
                         Trial number : 1117, Value : 41.013261, Duration : 0:00:15.079426
                         Trial number : 1561, Value : 41.013273, Duration : 0:00:16.827260
                         Trial number : 1323, Value : 41.013385, Duration : 0:00:12.986151
                         Trial number : 1674, Value : 41.013509, Duration : 0:00:15.298408
                         Trial number : 1526, Value : 41.013749, Duration : 0:00:12.824184
                         Trial number : 1430, Value : 41.013891, Duration : 0:00:15.193581
                         Trial number : 1479, Value : 41.014395, Duration : 0:00:14.797957
                         Trial number : 1314, Value : 41.014509, Duration : 0:00:13.112128
                         Trial number : 1386, Value : 41.014534, Duration : 0:00:15.357892
                         Trial number : 1201, Value : 41.014559, Duration : 0:00:13.376200
                         Trial number : 1599, Value : 41.014588, Duration : 0:00:14.596519
                         Trial number : 1698, Value : 41.014731, Duration : 0:00:12.850497
                         Trial number : 1030, Value : 41.014752, Duration : 0:00:16.458662
                         Trial number : 1301, Value : 41.014855, Duration : 0:00:14.945138
                         Trial number : 501, Value : 41.014893, Duration : 0:00:16.883986
                         Trial number : 555, Value : 41.014931, Duration : 0:00:17.327902
                         Trial number : 1736, Value : 41.015256, Duration : 0:00:14.754927
                         Trial number : 1766, Value : 41.015536, Duration : 0:00:14.972897
                         Trial number : 1585, Value : 41.015644, Duration : 0:00:14.632033
                         Trial number : 1863, Value : 41.016045, Duration : 0:00:14.938034
                         Trial number : 1033, Value : 41.016170, Duration : 0:00:13.898338
                         Trial number : 1485, Value : 41.016476, Duration : 0:00:15.622624
                         Trial number : 1582, Value : 41.016904, Duration : 0:00:13.814900
                         Trial number : 1613, Value : 41.017467, Duration : 0:00:13.962105
                         Trial number : 1874, Value : 41.017579, Duration : 0:00:13.281684
                         Trial number : 1146, Value : 41.017608, Duration : 0:00:14.942772
                         Trial number : 1703, Value : 41.017811, Duration : 0:00:15.185011
                         Trial number : 1735, Value : 41.018055, Duration : 0:00:12.785285
                         Trial number : 1705, Value : 41.018061, Duration : 0:00:14.957269
                         Trial number : 1720, Value : 41.018179, Duration : 0:00:14.570129
                         Trial number : 1610, Value : 41.018288, Duration : 0:00:17.208295
                         Trial number : 1109, Value : 41.018334, Duration : 0:00:14.443492
                         Trial number : 1586, Value : 41.018343, Duration : 0:00:15.424107
                         Trial number : 1871, Value : 41.018429, Duration : 0:00:18.456190
                         Trial number : 1664, Value : 41.018561, Duration : 0:00:15.352199
                         Trial number : 684, Value : 41.019403, Duration : 0:00:15.469163
                         Trial number : 1373, Value : 41.019495, Duration : 0:00:16.973993
                         Trial number : 1488, Value : 41.019737, Duration : 0:00:13.446952
                         Trial number : 1325, Value : 41.020208, Duration : 0:00:15.625788
                         Trial number : 881, Value : 41.020455, Duration : 0:00:15.935419
                         Trial number : 1404, Value : 41.020557, Duration : 0:00:17.222532
                         Trial number : 1498, Value : 41.020587, Duration : 0:00:14.854173
                         Trial number : 761, Value : 41.020863, Duration : 0:00:14.214032
                         Trial number : 1564, Value : 41.020889, Duration : 0:00:14.873602
                         Trial number : 1839, Value : 41.020978, Duration : 0:00:15.024014
                         Trial number : 1346, Value : 41.021265, Duration : 0:00:15.042375
                         Trial number : 1489, Value : 41.021272, Duration : 0:00:15.563782
                         Trial number : 1553, Value : 41.021446, Duration : 0:00:13.503475
                         Trial number : 1171, Value : 41.021491, Duration : 0:00:17.942886
                         Trial number : 1478, Value : 41.021638, Duration : 0:00:13.288831
                         Trial number : 1778, Value : 41.021866, Duration : 0:00:17.294588
                         Trial number : 1045, Value : 41.021911, Duration : 0:00:14.629864
                         Trial number : 1847, Value : 41.021947, Duration : 0:00:13.518173
                         Trial number : 1756, Value : 41.022387, Duration : 0:00:16.977036
                         Trial number : 1490, Value : 41.022814, Duration : 0:00:15.541112
                         Trial number : 1329, Value : 41.022867, Duration : 0:00:16.930504
                         Trial number : 639, Value : 41.023091, Duration : 0:00:17.609023
                         Trial number : 1509, Value : 41.023122, Duration : 0:00:14.838483
                         Trial number : 1567, Value : 41.023211, Duration : 0:00:13.152121
                         Trial number : 1540, Value : 41.023656, Duration : 0:00:15.173676
                         Trial number : 1591, Value : 41.023693, Duration : 0:00:13.180162
                         Trial number : 1407, Value : 41.023750, Duration : 0:00:13.236312
